split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
reference,all,2666,1.0,1.0,1.0,1.0,-3.593857727887018e-17,1.3151103945106976e-16,1.006792382229752e-14,4.928540696338608e-15,1.3151103945106976e-16,4.928540696338608e-15,0.0,0.0,,,0,,0,-7.549516567451093e-15,8.215650382226125e-15,1.0000000000000002,pca,disconnected,0
reference,internal,2666,1.0,1.0,1.0,1.0,-3.593857727887018e-17,1.3151103945106976e-16,1.006792382229752e-14,4.928540696338608e-15,1.3151103945106976e-16,4.928540696338608e-15,0.0,0.0,,,0,,0,-7.549516567451093e-15,8.215650382226125e-15,1.0000000000000002,pca,disconnected,0
reference,A_spiral,1334,1.0,1.0,1.0,1.0,-4.086353111647054e-17,1.2608604814891216e-16,1.4572301386562364e-14,6.961364684765459e-15,1.2608604814891216e-16,6.961364684765459e-15,0.0,0.0,,,0,,0,-1.114663916723663e-14,1.192379528447412e-14,1.0000000000000002,pca,disconnected,0
reference,B_tree,1332,1.0,1.0,1.0,1.0,-3.100622861568778e-17,1.369441763858132e-16,5.5567829283566045e-15,2.8926644196408446e-15,1.369441763858132e-16,2.8926644196408446e-15,0.0,0.0,,,0,,0,-4.540812170716901e-15,4.6629367034256464e-15,1.0000000000000002,pca,disconnected,0
reference,B_branch_0,180,1.0,1.0,1.0,1.0,7.746889549606154e-16,2.2574534834043783e-16,7.418756966772981e-15,3.420720496983954e-15,2.2574534834043783e-16,3.420720496983954e-15,0.0,0.0,,,0,,0,-5.662137425588314e-15,5.595524044110771e-15,1.0000000000000002,pca,disconnected,0
reference,B_branch_1,170,1.0,1.0,1.0,1.0,-1.1036923009510282e-16,1.632680918566372e-16,3.8929643822297414e-15,2.062402536333085e-15,1.632680918566372e-16,2.062402536333085e-15,0.0,0.0,,,0,,0,-3.363975764614229e-15,3.330669073875464e-15,1.0000000000000002,pca,disconnected,0
reference,B_branch_2,170,1.0,1.0,1.0,1.0,8.405041368779685e-16,-2.4555521015239256e-16,4.350115039428329e-15,2.3771834174326887e-15,-2.4555521015239256e-16,2.3771834174326887e-15,0.0,0.0,,,0,,0,-4.32986979603812e-15,3.5749181392929965e-15,1.0000000000000002,pca,disconnected,0
reference,B_branch_3,212,1.0,1.0,1.0,1.0,-1.1311706288634004e-15,3.440643996125984e-16,5.9889200517043895e-15,3.2149335604593546e-15,3.440643996125984e-16,3.2149335604593546e-15,0.0,0.0,,,0,,0,-4.996003610813217e-15,5.551115123125767e-15,1.0000000000000002,pca,disconnected,0
reference,B_branch_4,194,1.0,1.0,1.0,1.0,2.1517724600981052e-16,-8.584198644009335e-17,4.0746329563562436e-15,2.196410293047089e-15,-8.584198644009335e-17,2.196410293047089e-15,0.0,0.0,,,0,,0,-3.785860513971791e-15,3.330669073875464e-15,1.0000000000000002,pca,disconnected,0
reference,B_branch_5,194,1.0,1.0,1.0,1.0,5.390876748437304e-16,-2.495140405858668e-16,5.774304287870013e-15,2.886579864025407e-15,-2.495140405858668e-16,2.886579864025407e-15,0.0,0.0,,,0,,0,-4.518607710224397e-15,4.218847493575586e-15,1.0000000000000002,pca,disconnected,0
