dataset,method,phase,success,status,reason,source,selected_success
mnist_oos,ours_oracle_neighbors,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/timing.json,True
mnist_oos,no_repulsion,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/timing.json,True
mnist_oos,exact_repulsion_diagnostic,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/mnist_oos/main/metrics/timing.json,True
organoid,ours,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/embedding.json,True
organoid,ours_oracle_neighbors,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/embedding.json,True
organoid,no_repulsion,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/embedding.json,True
organoid,repulsion_oracle_diagnostic,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/embedding.json,True
organoid,spectral_only,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/embedding.json,True
organoid,standard_umap,internal_evaluate,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/embedding.json,True
organoid,standard_umap,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,reduced_repulsion_umap,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,weighted_knn,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,parametric_umap,internal_baselines,False,unavailable,"umap.parametric_umap.ParametricUMAP requires the optional 'tensorflow' dependency, not installed in this environment (umap.parametric_umap requires Tensorflow >= 2.0). Install with: pip install tensorflow",/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,False
organoid,numap,internal_baselines,False,unavailable,The official NUMAP/Sep-SpectralNet package is not installed in this environment (No module named 'numap'). Repository: https://github.com/shaham-lab/NUMAP . Install with: pip install numap==0.2.3 (see pyproject.toml's 'external-baselines' extra).,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,paramrepulsor,internal_baselines,False,unavailable,The official ParamRepulsor package is not installed in this environment (No module named 'parampacmap'). Repository: https://github.com/hyhuang00/ParamRepulsor . Install with: pip install parampacmap==0.1.0 (requires Python <3.12; see pyproject.toml's 'external-baselines' extra).,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,ours,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,ours_oracle_neighbors,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,no_repulsion,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,exact_repulsion_diagnostic,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/baseline_comparison.csv,True
organoid,standard_umap,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/timing.json,True
organoid,reduced_repulsion_umap,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/timing.json,True
organoid,weighted_knn,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/timing.json,True
organoid,ours,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/timing.json,True
organoid,ours_oracle_neighbors,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/timing.json,True
organoid,no_repulsion,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/organoid/main/metrics/timing.json,True
